	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	2733769	CC1C(C(C(C(O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O	(2R,3R,4S,5R,6S)-2-methyl-6-(4-nitrophenoxy)oxane-3,4,5-triol	"AAADccByOAAAAAAAAAAAAAAAAAAAAAAAAAA0QAAAAAAAAAABAAAAHgAECAAACByxkAMyzoAQRgCB
ACRCQwCCCAAgIgAoiAAGbIodNiKEsZuieCDlwBEP6AfwYAwAAEAAAAAAAAAAgAAAAAAAAAAAAAAA
AA=="	4-Nitrophenyl beta-D-Fucopyranoside
0	10925943	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	(2R)-4-hydroxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4-benzoxazin-3-one	"AAADceByPAAAAAAAAAAAAAAAAAAAAAAAAAA8SIAAAAAAAACxAAAAHgAECAAACByxkAMwzoIQBgCI
ACVSUAKCCAAhIgAoiABHbIgfNiLEsZ+neCjlxBHf6AfQYAwAAAAAAAAAEAAAAAAAAAAgAAAAAAAA
AA=="	DIBOA beta-D-glucoside
0	5316752	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	4-hydroxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4-benzoxazin-3-one	"AAADceByPAAAAAAAAAAAAAAAAAAAAAAAAAA8SIAAAAAAAACxAAAAHgAECAAACByxkAMwzoIQBgCI
ACVSUAKCCAAhIgAoiABHbIgfNiLEsZ+neCjlxBHf6AfQYAwAAAAAAAAAEAAAAAAAAAAgAAAAAAAA
AA=="	DIBOA-glucoside
1	10925943	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	(2R)-4-hydroxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4-benzoxazin-3-one	"AAADceByPAAAAAAAAAAAAAAAAAAAAAAAAAA8SIAAAAAAAACxAAAAHgAECAAACByxkAMwzoIQBgCI
ACVSUAKCCAAhIgAoiABHbIgfNiLEsZ+neCjlxBHf6AfQYAwAAAAAAAAAEAAAAAAAAAAgAAAAAAAA
AA=="	DIBOA beta-D-glucoside
2	58114415	C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O	4-hydroxy-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4-benzoxazin-3-one	"AAADceByPAAAAAAAAAAAAAAAAAAAAAAAAAA8SIAAAAAAAACxAAAAHgAECAAACByxkAMwzoIQBgCI
ACVSUAKCCAAhIgAoiABHbIgfNiLEsZ+neCjlxBHf6AfQYAwAAAAAAAAAEAAAAAAAAAAgAAAAAAAA
AA=="	DIBOA-Glc
0	71306364	C(C1C(C(C(O1)O)OC2C(C(C(O2)CO)O)O)O)O	(2S,3R,4S,5S)-3-[(2R,3R,4R,5S)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-5-(hydroxymethyl)oxolane-2,4-diol	"AAADceBwPAAAAAAAAAAAAAAAAAAAASJAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSwgAMACAAABgAA
AAAAAAAAAAAAAAAAAAAAAAAREAIAAAAiQAAFAAAHAADAIAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranose
0	441891	CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)C)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O	(2S,3R,4R,5R,6S)-2-[(2R,3S,4S,5R,6R)-4-hydroxy-2-(hydroxymethyl)-6-[[(1S,2S,4S,6R,7S,8R,9S,12S,13R,16S)-6-hydroxy-7,9,13-trimethyl-6-[(3R)-3-methyl-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutyl]-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-en-16-yl]oxy]-5-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol	"AAADcfB8PgAAAAAAAAAAAAAAAAAAAaIAAAA0aJEiAAASAGCAAAAAGgAACAAADxSwgAMCCAAABgCA
AiBCAAAAAAAgAAAACAAAAAgREAIAAQAiQAAFwAAPAAPA4PwPgAAAAAAAAADAAAQAACAAAYAADAAA
AA=="	Protodioscin
0	441892	CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O	(2S,3R,4R,5R,6S)-2-[(2R,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-2-[[(1S,2S,4S,6R,7S,8R,9S,12S,13R,16S)-6-hydroxy-7,9,13-trimethyl-6-[(3R)-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutyl]-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-en-16-yl]oxy]-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol	"AAADcfB8PgAAAAAAAAAAAAAAAAAAAaIAAAA0aJEiAAASAGCAAAAAGgAACAAADxSwgAMCCAAABgCA
AiBCAAAAAAAgAAAACAAAAAgREAIAAQAiQAAFwAAPAAPA4PwPgAAAAAAAAADAAAQAACAAAYAADAAA
AA=="	Protogracillin
1	46906323	CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O	(2S,3R,4R,5R,6S)-2-[(2R,3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-2-[[(1S,2S,4S,6R,7S,8R,9S,12S,13R,16S)-6-hydroxy-7,9,13-trimethyl-6-[(3S)-3-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutyl]-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-en-16-yl]oxy]-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol	"AAADcfB8PgAAAAAAAAAAAAAAAAAAAaIAAAA0aJEiAAASAGCAAAAAGgAACAAADxSwgAMCCAAABgCA
AiBCAAAAAAAgAAAACAAAAAgREAIAAQAiQAAFwAAPAAPA4PwPgAAAAAAAAADAAAQAACAAAYAADAAA
AA=="	Protoneogracillin
2	45358144	CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC1(CCC(C)COC9C(C(C(C(O9)CO)O)O)O)O	(2R,3R,4S,5R,6S)-2-[(3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-2-[[(1S,4R,7R,8S,9S,12R)-6-hydroxy-7,9,13-trimethyl-6-[3-methyl-4-[(2R,3S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutyl]-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-en-16-yl]oxy]-4-[(3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol	"AAADcfB8PgAAAAAAAAAAAAAAAAAAAaIAAAA0aJEiAAASAGCAAAAAGgAACAAADxSwgAMCCAAABgCA
AiBCAAAAAAAgAAAACAAAAAgREAIAAQAiQAAFwAAPAAPA4PwPgAAAAAAAAADAAAQAACAAAYAADAAA
AA=="	(2R,3R,4S,5R,6S)-2-[(3R,4S,5R,6R)-5-hydroxy-6-(hydroxymethyl)-2-[[(1S,4R,7R,8S,9S,12R)-6-hydroxy-7,9,13-trimethyl-6-[3-methyl-4-[(2R,3S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutyl]-5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-en-16-yl]oxy]-4-[(3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]oxy-6-methyloxane-3,4,5-triol
